axis,example,key,metric,value
codegen,eval,-O0,identical_object,1
codegen,eval,-O0,text_pipe,139377
codegen,eval,-O0,text_backtick,139377
codegen,eval,-O0,symbols_pipe,737
codegen,eval,-O0,symbols_backtick,737
codegen,eval,-O0,symbol_set_diff_lines,0
codegen,eval,-O0,symbol_set_diff_lines_renumbered,0
codegen,eval,-O0,asm_diff_lines,0
codegen,eval,-O0,asm_diff_lines_renumbered,0
codegen,eval,-O2,identical_object,1
codegen,eval,-O2,text_pipe,79191
codegen,eval,-O2,text_backtick,79191
codegen,eval,-O2,symbols_pipe,168
codegen,eval,-O2,symbols_backtick,168
codegen,eval,-O2,symbol_set_diff_lines,0
codegen,eval,-O2,symbol_set_diff_lines_renumbered,0
codegen,eval,-O2,asm_diff_lines,0
codegen,eval,-O2,asm_diff_lines_renumbered,0
codegen,eval,-O3,identical_object,1
codegen,eval,-O3,text_pipe,81413
codegen,eval,-O3,text_backtick,81413
codegen,eval,-O3,symbols_pipe,169
codegen,eval,-O3,symbols_backtick,169
codegen,eval,-O3,symbol_set_diff_lines,0
codegen,eval,-O3,symbol_set_diff_lines_renumbered,0
codegen,eval,-O3,asm_diff_lines,0
codegen,eval,-O3,asm_diff_lines_renumbered,0
codegen,calendar,-O0,identical_object,0
codegen,calendar,-O0,text_pipe,265110
codegen,calendar,-O0,text_backtick,257756
codegen,calendar,-O0,symbols_pipe,1741
codegen,calendar,-O0,symbols_backtick,1649
codegen,calendar,-O0,symbol_set_diff_lines,804
codegen,calendar,-O0,symbol_set_diff_lines_renumbered,360
codegen,calendar,-O0,asm_diff_lines,30266
codegen,calendar,-O0,asm_diff_lines_renumbered,28510
codegen,calendar,-O2,identical_object,0
codegen,calendar,-O2,text_pipe,109795
codegen,calendar,-O2,text_backtick,109795
codegen,calendar,-O2,symbols_pipe,249
codegen,calendar,-O2,symbols_backtick,249
codegen,calendar,-O2,symbol_set_diff_lines,4
codegen,calendar,-O2,symbol_set_diff_lines_renumbered,0
codegen,calendar,-O2,asm_diff_lines,18
codegen,calendar,-O2,asm_diff_lines_renumbered,0
codegen,calendar,-O3,identical_object,0
codegen,calendar,-O3,text_pipe,120247
codegen,calendar,-O3,text_backtick,120247
codegen,calendar,-O3,symbols_pipe,266
codegen,calendar,-O3,symbols_backtick,266
codegen,calendar,-O3,symbol_set_diff_lines,2
codegen,calendar,-O3,symbol_set_diff_lines_renumbered,0
codegen,calendar,-O3,asm_diff_lines,10
codegen,calendar,-O3,asm_diff_lines_renumbered,0
codegen,sieve,-O0,identical_object,0
codegen,sieve,-O0,text_pipe,157208
codegen,sieve,-O0,text_backtick,154790
codegen,sieve,-O0,symbols_pipe,960
codegen,sieve,-O0,symbols_backtick,930
codegen,sieve,-O0,symbol_set_diff_lines,128
codegen,sieve,-O0,symbol_set_diff_lines_renumbered,128
codegen,sieve,-O0,asm_diff_lines,16141
codegen,sieve,-O0,asm_diff_lines_renumbered,16141
codegen,sieve,-O2,identical_object,1
codegen,sieve,-O2,text_pipe,81129
codegen,sieve,-O2,text_backtick,81129
codegen,sieve,-O2,symbols_pipe,169
codegen,sieve,-O2,symbols_backtick,169
codegen,sieve,-O2,symbol_set_diff_lines,0
codegen,sieve,-O2,symbol_set_diff_lines_renumbered,0
